Date,Ticker,prediction,actual_target,actual_return,portfolio_side
2025-09-04,TSLA,-0.11333709955215454,0.8811702,0.03636309,SHORT
2025-09-05,NVDA,0.025431200861930847,0.30014855,0.0077234763,LONG
2025-09-05,GOOGL,-0.017522692680358887,-0.5460259,-0.003194441,LONG
2025-09-05,XOM,-0.11118172109127045,0.14146031,0.005675973,SHORT
2025-09-05,TSLA,-0.11479368805885315,-1.2792772,-0.0126553485,SHORT
2025-09-08,NVDA,0.024451762437820435,0.60366124,0.0145563455,LONG
2025-09-08,GOOGL,-0.0231315940618515,1.2044024,0.023884809,LONG
2025-09-08,TSLA,-0.10550861060619354,-0.22777982,0.0016455177,SHORT
2025-09-08,XOM,-0.11497712880373001,0.13524888,0.00728272,SHORT
2025-09-09,NVDA,0.02442115545272827,0.7883141,0.03847522,LONG
2025-09-09,AAPL,-0.027347996830940247,-1.0592558,-0.032259457,LONG
2025-09-09,TSLA,-0.09851524233818054,-0.15491813,0.002363338,SHORT
2025-09-09,XOM,-0.11773045361042023,0.22005904,0.016719433,SHORT
2025-09-10,NVDA,0.021579235792160034,-0.32282525,-0.0008458502,LONG
2025-09-10,AAPL,-0.021832868456840515,0.35419512,0.014286333,LONG
2025-09-10,TSLA,-0.09272946417331696,2.4190736,0.060438737,SHORT
2025-09-10,XOM,-0.11720892041921616,-0.42815134,-0.0032000092,SHORT
2025-09-11,NVDA,0.015553712844848633,-0.35290727,0.0036686554,LONG
2025-09-11,AAPL,-0.019135892391204834,0.2500571,0.017562859,LONG
2025-09-11,TSLA,-0.09188462793827057,2.6801956,0.07356092,SHORT
2025-09-11,XOM,-0.11563630402088165,-0.50437737,0.00017830623,SHORT
2025-09-12,NVDA,0.011096745729446411,-1.0604639,-0.00039369476,LONG
2025-09-12,AAPL,-0.0141468346118927,-0.2508389,0.011235999,LONG
2025-09-12,TSLA,-0.09322427213191986,1.4461095,0.035611473,SHORT
2025-09-12,XOM,-0.11373511701822281,-0.9151253,0.0016939922,SHORT
2025-09-15,NVDA,0.008505776524543762,-1.3540046,-0.016146207,LONG
2025-09-15,AAPL,-0.010558590292930603,0.10921705,0.006125868,LONG
2025-09-15,TSLA,-0.09649287909269333,1.5621355,0.028241115,SHORT
2025-09-15,XOM,-0.11447272449731827,1.0692499,0.020738775,SHORT
2025-09-16,NVDA,0.0052769482135772705,-1.3088564,-0.026246632,LONG
2025-09-16,AAPL,-0.007550746202468872,0.58446294,0.0035272767,LONG
2025-09-16,TSLA,-0.09905288368463516,0.9996508,0.010056426,SHORT
2025-09-16,XOM,-0.11370758712291718,0.69840825,0.0053191553,SHORT
2025-09-17,NVDA,0.003064557909965515,2.2756257,0.03494056,LONG
2025-09-17,AAPL,-0.007818073034286499,-0.3848698,-0.004644659,LONG
2025-09-17,AVGO,-0.09710323810577393,-0.23190755,-0.0023687503,SHORT
2025-09-17,XOM,-0.11310888826847076,-0.86552924,-0.011796337,SHORT
2025-09-18,NVDA,-1.2978911399841309e-05,-0.42098993,0.00243967,LONG
2025-09-18,AAPL,-0.006705373525619507,1.8769884,0.032032996,LONG
2025-09-18,AVGO,-0.10691532492637634,-0.70262927,-0.0011872763,SHORT
