feature,horizon,split,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
momentum_5,5,validation,412,-0.014180641365107379,-0.02424242424242424,0.3677474639626225,-0.038560813478644915,47.33009708737864
momentum_10,5,validation,412,-0.04530744336569579,-0.060606060606060594,0.38025327484057087,-0.11915069866181134,45.63106796116505
momentum_20,5,validation,412,-0.03165636952044719,-0.04242424242424241,0.39038985905098006,-0.08108911844534686,46.84466019417476
volatility_10,5,validation,412,0.025684024713150927,0.0303030303030303,0.3940702360789613,0.06517626139114076,51.94174757281553
volatility_20,5,validation,412,0.03342159458664313,0.06666666666666665,0.38996651530252013,0.08570375474600946,56.55339805825243
volatility_60,5,validation,412,0.054574874963224475,0.08484848484848484,0.41849040759294776,0.13040890298328583,56.067961165048544
rsi_14,5,validation,412,-0.009679317446307734,-0.01818181818181818,0.34725225810243304,-0.027874023049412434,47.33009708737864
macd,5,validation,412,-0.07614004118858486,-0.07878787878787878,0.3667025682780509,-0.2076343275863068,42.23300970873786
macd_signal,5,validation,412,-0.08078846719623418,-0.11515151515151514,0.3509053466779857,-0.23022865841474655,39.07766990291262
macd_hist,5,validation,412,-0.007855251544571928,0.006060606060606061,0.32840618926002335,-0.023919316387646845,50.970873786407765
volume_change,5,validation,412,0.010973815828184756,0.01818181818181818,0.3642037934405841,0.03013097618922801,50.970873786407765
volume_ratio_20,5,validation,412,0.0054427772874374785,-0.006060606060606061,0.34173988812076406,0.015926666674374604,49.029126213592235
relative_strength_1d,5,validation,412,-0.012238893792291854,-0.02424242424242424,0.37574518946749136,-0.03257232330675184,47.57281553398058
relative_strength_20d,5,validation,412,-0.03165636952044719,-0.04242424242424241,0.39038985905098006,-0.08108911844534686,46.84466019417476
beta_60,5,validation,412,0.05198587819947044,0.09090909090909088,0.45417877166480447,0.11446126821144637,54.36893203883495
return_1d,10,validation,412,-0.003353927625772288,0.006060606060606061,0.3543312672437927,-0.009465514155330427,50.24271844660194
return_5d,10,validation,412,-0.03783465725213298,-0.04242424242424241,0.34003737789338623,-0.11126617163832939,44.417475728155345
return_10d,10,validation,412,-0.04716092968520152,-0.09696969696969696,0.3710315323520806,-0.1271076056157119,43.689320388349515
return_20d,10,validation,412,-0.02912621359223301,-0.060606060606060594,0.39579319444130384,-0.0735894755172513,45.38834951456311
return_60d,10,validation,412,0.002706678434833775,-0.006060606060606061,0.36602252634837495,0.00739484113679276,49.029126213592235
price_ma20_ratio,10,validation,412,-0.024036481318034715,-0.05454545454545454,0.3691890349483747,-0.0651061625418963,44.417475728155345
price_ma50_ratio,10,validation,412,-0.07855251544571933,-0.1515151515151515,0.40212441590653647,-0.19534380987195973,39.32038834951456
price_ma200_ratio,10,validation,412,0.00403059723448072,0.02424242424242424,0.4216478074538269,0.009559156156461445,52.18446601941748
momentum_5,10,validation,412,-0.03783465725213298,-0.04242424242424241,0.34003737789338623,-0.11126617163832939,44.417475728155345
momentum_10,10,validation,412,-0.04716092968520152,-0.09696969696969696,0.3710315323520806,-0.1271076056157119,43.689320388349515
momentum_20,10,validation,412,-0.02912621359223301,-0.060606060606060594,0.39579319444130384,-0.0735894755172513,45.38834951456311
volatility_10,10,validation,412,0.03907031479847014,0.0303030303030303,0.36026972906412413,0.10844739828673211,53.640776699029125
volatility_20,10,validation,412,0.05937040305972343,0.09090909090909088,0.36061103254960214,0.16463834353586232,58.009708737864074
volatility_60,10,validation,412,0.0908208296557811,0.12727272727272726,0.39609964833161804,0.22928783208548856,61.40776699029126
rsi_14,10,validation,412,-0.005119152691968227,-0.006060606060606061,0.356294190262557,-0.01436776919712294,49.75728155339806
macd,10,validation,412,-0.09926448955575168,-0.11515151515151514,0.3465989485904468,-0.2863958184508113,37.86407766990291
macd_signal,10,validation,412,-0.09576345984112973,-0.09696969696969696,0.33939758369185125,-0.2821571644660738,38.10679611650485
macd_hist,10,validation,412,0.007855251544571928,-0.006060606060606061,0.3161356739790234,0.02484772264294712,48.54368932038835
volume_change,10,validation,412,0.0009120329508679028,-0.006060606060606061,0.35363809757003367,0.0025790008405055563,49.271844660194176
volume_ratio_20,10,validation,412,0.00047072668431890957,0.006060606060606061,0.33027120508370483,0.001425273160582096,51.94174757281553
relative_strength_1d,10,validation,412,-0.003353927625772288,0.006060606060606061,0.3543312672437927,-0.009465514155330427,50.24271844660194
relative_strength_20d,10,validation,412,-0.02912621359223301,-0.060606060606060594,0.39579319444130384,-0.0735894755172513,45.38834951456311
beta_60,10,validation,412,0.07355104442483083,0.10303030303030303,0.43089178095042424,0.17069493472954678,58.009708737864074
return_1d,20,validation,412,-0.008267137393350981,-0.01818181818181818,0.36858843771443495,-0.022429182653189928,49.271844660194176
return_5d,20,validation,412,-0.028449543983524568,-0.04242424242424241,0.3726108110063723,-0.07635190161736352,46.116504854368934
return_10d,20,validation,412,-0.019476316563695212,-0.04848484848484848,0.3983855407375155,-0.04888811106858817,46.359223300970875
return_20d,20,validation,412,-0.06175345689908794,-0.10303030303030303,0.396867078899464,-0.15560236709563804,39.80582524271845
return_60d,20,validation,412,-0.02353633421594587,-0.0303030303030303,0.3787286138424619,-0.06214564560399489,46.84466019417476
price_ma20_ratio,20,validation,412,-0.015180935569285074,-0.06666666666666665,0.4002241423451924,-0.03793108401789404,44.417475728155345
price_ma50_ratio,20,validation,412,-0.08929096793174464,-0.1515151515151515,0.38991468655516726,-0.22900129441292863,38.349514563106794
price_ma200_ratio,20,validation,412,0.034068843777581646,0.04242424242424241,0.41176899348739926,0.08273775907467448,52.9126213592233
momentum_5,20,validation,412,-0.028449543983524568,-0.04242424242424241,0.3726108110063723,-0.07635190161736352,46.116504854368934
momentum_10,20,validation,412,-0.019476316563695212,-0.04848484848484848,0.3983855407375155,-0.04888811106858817,46.359223300970875
momentum_20,20,validation,412,-0.06175345689908794,-0.10303030303030303,0.396867078899464,-0.15560236709563804,39.80582524271845
volatility_10,20,validation,412,0.09632244777875845,0.11515151515151514,0.309157447009348,0.31156437831447725,67.71844660194175
volatility_20,20,validation,412,0.1045601647543395,0.12727272727272726,0.31001631675817587,0.3372731017764471,66.99029126213593
volatility_60,20,validation,412,0.13289202706678432,0.13939393939393938,0.3362077796079782,0.39526755514621886,63.59223300970874
rsi_14,20,validation,412,-0.014180641365107396,-0.02424242424242424,0.39006934468440807,-0.0363541548659264,48.05825242718447
macd,20,validation,412,-0.15654604295380992,-0.16969696969696968,0.36192278633202796,-0.4325398921144318,34.46601941747573
macd_signal,20,validation,412,-0.1582230067666961,-0.1515151515151515,0.3592399699791681,-0.44043820284215945,34.70873786407767
macd_hist,20,validation,412,0.028714327743453952,0.06666666666666665,0.3590026091183586,0.07998361854241345,56.067961165048544
volume_change,20,validation,412,0.004354221829949988,-0.006060606060606061,0.34147089655631474,0.012751370245200086,49.271844660194176
volume_ratio_20,20,validation,412,0.0017063842306560724,0.02424242424242424,0.3346018024685462,0.005099746080466733,52.42718446601942
relative_strength_1d,20,validation,412,-0.008267137393350981,-0.01818181818181818,0.36858843771443495,-0.022429182653189928,49.271844660194176
relative_strength_20d,20,validation,412,-0.06175345689908794,-0.10303030303030303,0.396867078899464,-0.15560236709563804,39.80582524271845
beta_60,20,validation,412,0.10800235363342159,0.13939393939393938,0.3843474866125741,0.2810018470142592,63.3495145631068
return_1d,1,test,410,0.010373244641537327,0.006060606060606061,0.37288025124317414,0.027819238500706778,51.21951219512195
return_5d,1,test,410,-0.01950849963045085,-0.02424242424242424,0.37413212449214167,-0.05214334282823824,47.073170731707314
return_10d,1,test,410,-0.03392091648189209,-0.05454545454545454,0.3747630980488084,-0.09051295780854682,44.146341463414636
return_20d,1,test,410,-0.013854397634885442,-0.0303030303030303,0.35742053018125447,-0.03876217638606161,46.82926829268293
return_60d,1,test,410,-0.015683665927568362,-0.0303030303030303,0.37053736286195393,-0.042326813702216075,45.85365853658537
price_ma20_ratio,1,test,410,-0.02885070214338506,-0.036363636363636355,0.3707226141321584,-0.07782288170071036,46.58536585365854
