factor,mean_ic,ic_std,icir,fold
beta_60,-0.008645394340758583,0.45706819003001037,-0.01891488957083393,19
price_ma200_ratio,0.05998795906080673,0.4168167019564572,0.1439192786163194,19
return_60d,0.045635159542444306,0.41967595761928944,0.1087390371402748,19
momentum_20,0.026144892634958863,0.3746633806391046,0.06978235393691436,19
volatility_10,-0.008632746563781045,0.38569449352503543,-0.02238234330203289,20
volatility_20,-0.011349569970259621,0.4006352005922502,-0.028328938529319943,20
volatility_60,0.016686761514347722,0.3890479805772359,0.042891268808513905,20
beta_60,0.035270476649787,0.4773500340522047,0.07388807821040123,20
price_ma200_ratio,0.03584920826300136,0.3907114017635313,0.09175367829346898,20
return_60d,0.04035045414355759,0.41152919716315184,0.09805003975832254,20
momentum_20,0.029483160517643273,0.3824210453887583,0.07709607217790938,20
volatility_10,-0.019807638134331368,0.36918754811899546,-0.053651966961645814,21
volatility_20,-0.014608233731739707,0.3908474978342222,-0.03737578931088817,21
volatility_60,0.023445611493420254,0.3849352862141829,0.06090793006795126,21
beta_60,0.04131353374381263,0.46978549472356135,0.08794127151184818,21
price_ma200_ratio,7.2437522636726e-05,0.36067031895210405,0.00020084137460267554,21
return_60d,-0.001440701839108215,0.3833567427906905,-0.00375812312213542,21
momentum_20,-0.004740633425892388,0.37332228834369935,-0.012698500930455891,21
volatility_10,-0.013974854932301745,0.3598773860045673,-0.038832267532710116,22
volatility_20,-0.010541586073500961,0.3782909003747721,-0.027866348524528163,22
volatility_60,0.035041908446163755,0.38005388942953044,0.09220247291446605,22
beta_60,0.07561250805931656,0.466652757110584,0.16203163253013514,22
price_ma200_ratio,0.026289490651192775,0.3722396315805858,0.07062517910724234,22
return_60d,-0.01002578981302386,0.37386298333767354,-0.026816749076140962,22
momentum_20,-0.013781431334622828,0.3554862512556447,-0.03876783219025828,22
volatility_10,-0.001736194839643115,0.35624205158073224,-0.00487363811189386,23
volatility_20,-0.0018326501085121692,0.37525777857963794,-0.004883709847265006,23
volatility_60,0.039562736114460255,0.37951102705506556,0.10424660495759418,23
beta_60,0.055992283578490475,0.4585127431138738,0.12211718086226565,23
price_ma200_ratio,0.06423920906679527,0.3751505210871102,0.17123582523794198,23
return_60d,0.014596897355518043,0.38248825962133115,0.038162994519019174,23
momentum_20,0.015416767140905063,0.3615875219659388,0.04263633616858412,23
volatility_10,0.011243913235945101,0.35673942602574327,0.03151856065141987,24
volatility_20,0.018600346090385925,0.37961176737446267,0.0489983390637042,24
volatility_60,0.05580103827115779,0.3929521727904822,0.1420046563806896,24
beta_60,0.05003823091472494,0.46649663291310073,0.10726386298279261,24
price_ma200_ratio,0.06478329107811179,0.3877888205414319,0.16705817095928957,24
return_60d,-0.01476920600426577,0.38469293104412716,-0.03839219494930524,24
momentum_20,0.016749164956336278,0.3745859734351799,0.04471380709409994,24
volatility_10,0.025828001126805902,0.3637538401487111,0.07100406449660246,25
volatility_20,0.026343112398889278,0.3840380531150262,0.06859505766476492,25
volatility_60,0.07289629361342509,0.4018809942575615,0.1813877606929244,25
beta_60,0.07832105919755322,0.4652888724867998,0.16832781488832013,25
price_ma200_ratio,0.06574912471326813,0.37514839173252945,0.17526164622383736,25
return_60d,-0.03299126725421545,0.3759488611759942,-0.08775466735293858,25
momentum_20,-0.013867761278119848,0.3826004431718601,-0.036246066949511074,25
volatility_10,0.06105738233397807,0.3520651423379899,0.17342637765417201,26
volatility_20,0.05801096067053514,0.36835511305290763,0.15748650857522617,26
volatility_60,0.11055770470664086,0.379376354540492,0.2914195979360667,26
beta_60,0.08834622823984527,0.44655443491344377,0.1978397734577858,26
price_ma200_ratio,0.06631205673758865,0.37360539300564716,0.17749223640512685,26
return_60d,-0.020954223081882654,0.3708580033471661,-0.05650201126242669,26
momentum_20,-0.02214700193423597,0.38728456040813414,-0.057185346895566085,26
volatility_10,0.05314514829142488,0.3459716886050981,0.15361126370107775,27
volatility_20,0.05375765635074145,0.362254278890918,0.14839757453059363,27
volatility_60,0.08247098646034817,0.39386283124690324,0.20939012244252383,27
beta_60,0.07670656028368793,0.4462927193560562,0.1718749980827959,27
price_ma200_ratio,0.008186250805931652,0.4012823008485621,0.020400228937635153,27
return_60d,-0.07144382656350741,0.3771143736887514,-0.1894486965974759,27
momentum_20,-0.015649177949709856,0.37552470822275247,-0.041672831659394116,27
volatility_10,0.069864423193318,0.3453412441652935,0.20230547139593386,28
volatility_20,0.07654642295121655,0.3559744810091896,0.21503345614608954,28
volatility_60,0.10103700117015696,0.3923056886079019,0.257546612512011,28
beta_60,0.0950227978856474,0.43453373686346064,0.2186776073396241,28
price_ma200_ratio,0.027605616753419687,0.40617129031332955,0.06796545549077115,28
return_60d,-0.03800790864705646,0.37487781723806224,-0.10138745719093838,28
momentum_20,0.003996691280313118,0.3760088581673579,0.010629247671963701,28
volatility_10,0.09382857833655707,0.3378528395853979,0.27772025966009484,29
volatility_20,0.11547590264345581,0.33916280391395687,0.34047336945814144,29
volatility_60,0.13888620245003222,0.37361984517063646,0.37173133131245023,29
beta_60,0.1428896679561573,0.40618346766018765,0.35178602610113746,29
price_ma200_ratio,-0.00395107994842038,0.4085109238278718,-0.009671907696855588,29
return_60d,-0.03211436170212764,0.3805558557196544,-0.08438803718155229,29
momentum_20,0.0014526918117343665,0.37456297630112195,0.0038783646640144854,29
