factor,mean_ic,ic_std,icir,positive_pct,abs_ic,fold
return_10d,0.005137085137085132,0.3524977038130137,0.01457338610015501,50.476190476190474,0.005137085137085132,6
return_1d,0.004724799010513293,0.36419632483074577,0.012973219904701306,50.884353741496604,0.004724799010513293,6
relative_strength_1d,0.004724799010513293,0.36419632483074577,0.012973219904701306,50.884353741496604,0.004724799010513293,6
beta_60,0.10911564625850338,0.3640928923360224,0.29969177799219504,61.904761904761905,0.10911564625850338,7
price_ma200_ratio,0.09099154813440527,0.3833677296145979,0.23734795890587784,58.23129251700681,0.09099154813440527,7
return_60d,0.08355390641104929,0.3610258777170553,0.2314346742660162,55.51020408163265,0.08355390641104929,7
volatility_60,0.0680684394970109,0.3876251054220278,0.1756037948648894,59.183673469387756,0.0680684394970109,7
price_ma50_ratio,0.067276850133993,0.367514927067195,0.18305882340853152,54.82993197278911,0.067276850133993,7
momentum_20,0.06552875695732836,0.3583868247161655,0.1828436550624474,57.55102040816327,0.06552875695732836,7
return_20d,0.06552875695732836,0.3583868247161655,0.1828436550624474,57.55102040816327,0.06552875695732836,7
relative_strength_20d,0.06552875695732836,0.3583868247161655,0.1828436550624474,57.55102040816327,0.06552875695732836,7
macd_signal,0.06541331684188827,0.3304076321048664,0.19797762062931726,57.006802721088434,0.06541331684188827,7
volatility_10,0.06127396413110698,0.35625220012207887,0.17199603008798234,56.326530612244895,0.06127396413110698,7
volatility_20,0.05634302205730776,0.3559113498946033,0.1583063368841503,55.91836734693878,0.05634302205730776,7
macd,0.05365491651205935,0.3323496140131085,0.16144118798327567,55.51020408163265,0.05365491651205935,7
price_ma20_ratio,0.04961451247165532,0.36034771016356454,0.13768510544755486,53.605442176870746,0.04961451247165532,7
rsi_14,0.04103896103896103,0.3331984624423596,0.1231667179318404,53.06122448979592,0.04103896103896103,7
return_10d,0.03925788497217069,0.36266455476119436,0.10824847495234553,54.5578231292517,0.03925788497217069,7
momentum_10,0.03925788497217069,0.36266455476119436,0.10824847495234553,54.5578231292517,0.03925788497217069,7
macd_hist,-0.019451659451659453,0.3271231300381787,-0.05946280670947737,46.53061224489796,0.019451659451659453,7
momentum_5,0.019006390434961863,0.35829076651262426,0.053047391145348365,53.46938775510204,0.019006390434961863,7
return_5d,0.019006390434961863,0.35829076651262426,0.053047391145348365,53.46938775510204,0.019006390434961863,7
return_1d,0.011733663162234585,0.36691146134337776,0.03197954928765095,52.10884353741496,0.011733663162234585,7
relative_strength_1d,0.011733663162234585,0.36691146134337776,0.03197954928765095,52.10884353741496,0.011733663162234585,7
volume_ratio_20,0.007676767676767673,0.35420260626350675,0.02167337998370512,49.38775510204081,0.007676767676767673,7
volume_change,-0.0067862296433725,0.34925956427448945,-0.019430333017420472,51.42857142857142,0.0067862296433725,7
price_ma200_ratio,0.10425066996495568,0.39199434704866887,0.26594942184717835,58.63945578231292,0.10425066996495568,8
return_60d,0.10027623170480311,0.36706965240366585,0.27318039246276216,57.95918367346938,0.10027623170480311,8
beta_60,0.079150690579262,0.3670293747750454,0.2156521957616443,58.50340136054422,0.079150690579262,8
macd_signal,0.07697381983096269,0.3365301215840806,0.22872787573557843,58.63945578231292,0.07697381983096269,8
price_ma50_ratio,0.06998144712430426,0.3650060990507038,0.19172678841890525,54.82993197278911,0.06998144712430426,8
momentum_20,0.06404452690166974,0.35605242218613586,0.17987386943877823,56.734693877551024,0.06404452690166974,8
return_20d,0.06404452690166974,0.35605242218613586,0.17987386943877823,56.734693877551024,0.06404452690166974,8
relative_strength_20d,0.06404452690166974,0.35605242218613586,0.17987386943877823,56.734693877551024,0.06404452690166974,8
macd,0.06366522366522366,0.33664352991921714,0.18911762148080233,57.14285714285714,0.06366522366522366,8
volatility_60,0.05866831581117295,0.3889113305455099,0.15085267824128784,56.19047619047619,0.05866831581117295,8
price_ma20_ratio,0.04463409606266749,0.36648201784614043,0.12179068518828705,52.925170068027214,0.04463409606266749,8
rsi_14,0.0381859410430839,0.34057649807164225,0.11212148007655907,52.51700680272109,0.0381859410430839,8
momentum_10,0.031721294578437434,0.3716250005911065,0.08535834383580643,52.6530612244898,0.031721294578437434,8
return_10d,0.031721294578437434,0.3716250005911065,0.08535834383580643,52.6530612244898,0.031721294578437434,8
volatility_10,0.03158936301793444,0.3524715782863483,0.08962244040077243,52.244897959183675,0.03158936301793444,8
volatility_20,0.03155638012780868,0.35659158506951855,0.08849446102789182,52.38095238095239,0.03155638012780868,8
macd_hist,-0.01933621933621934,0.3304019348439774,-0.05852332355544558,46.802721088435376,0.01933621933621934,8
momentum_5,0.013448773448773446,0.3655472138200851,0.036790797304209956,52.6530612244898,0.013448773448773446,8
return_5d,0.013448773448773446,0.3655472138200851,0.036790797304209956,52.6530612244898,0.013448773448773446,8
volume_ratio_20,0.008072562358276641,0.3517075001141169,0.0229524885186053,49.523809523809526,0.008072562358276641,8
volume_change,-0.00802308802308802,0.3558609818053879,-0.02254556816649166,51.156462585034014,0.00802308802308802,8
return_1d,0.006901669758812615,0.37580324226872486,0.018365114992481762,51.70068027210885,0.006901669758812615,8
relative_strength_1d,0.006901669758812615,0.37580324226872486,0.018365114992481762,51.70068027210885,0.006901669758812615,8
price_ma200_ratio,0.15615942028985505,0.41041663103232123,0.38048999110261966,63.17934782608695,0.15615942028985505,9
return_60d,0.14929183135704874,0.3836989375156293,0.38908586071069745,62.5,0.14929183135704874,9
price_ma50_ratio,0.11653491436100129,0.3786677955802776,0.30774973663239835,59.2391304347826,0.11653491436100129,9
macd_signal,0.11192358366271407,0.32528183599462734,0.34408187386326333,63.45108695652174,0.11192358366271407,9
relative_strength_20d,0.0948945981554677,0.3604207244834114,0.26328840632424644,59.91847826086957,0.0948945981554677,9
momentum_20,0.0948945981554677,0.3604207244834114,0.26328840632424644,59.91847826086957,0.0948945981554677,9
return_20d,0.0948945981554677,0.3604207244834114,0.26328840632424644,59.91847826086957,0.0948945981554677,9
macd,0.0931159420289855,0.3294680724275082,0.28262508516503826,61.41304347826087,0.0931159420289855,9
volatility_60,0.06457509881422924,0.3792571715781091,0.17026731108479462,57.33695652173913,0.06457509881422924,9
beta_60,0.06376811594202897,0.3664722547357059,0.1740053035884464,56.52173913043478,0.06376811594202897,9
