factor,mean_ic,icir,fold
return_60d,0.004853445781140194,0.012585231150615744,21
beta_60,0.042688825499193846,0.08983476026307463,21
volatility_60,0.026929596097399647,0.06931093510990609,21
momentum_20,0.0025052709909462972,0.006701542141642138,21
volatility_20,-0.011964115920459711,-0.03028202084663545,21
volatility_10,-0.01295630245152756,-0.03491709285548638,21
price_ma200_ratio,0.007766186454711044,0.02164339847466786,22
return_60d,-0.0243417784401391,-0.06625100620382635,22
beta_60,0.0717337307501242,0.15193469275423802,22
volatility_60,0.031909256499420426,0.08302970131725107,22
momentum_20,-0.01980460341116079,-0.05612573347744206,22
volatility_20,-0.017254512336479542,-0.04529244451952323,22
volatility_10,-0.01919191919191919,-0.05291323351663628,22
price_ma200_ratio,0.07518784576005286,0.20257669816882337,23
return_60d,0.025183717281809924,0.06633732906387077,23
beta_60,0.0664024440591198,0.14490895676657953,23
volatility_60,0.04521509371645611,0.11889411056465561,23
momentum_20,0.01557261993229296,0.04271451602659931,23
volatility_20,-0.0006110147799521106,-0.0016318632946145948,23
volatility_10,-0.0012715712988192508,-0.003585802480243396,23
price_ma200_ratio,0.08510479970234404,0.2291126196838728,24
return_60d,-0.0027533176237132645,-0.007236970209739527,24
beta_60,0.0668320310885113,0.1452688613613457,24
volatility_60,0.06678242176195791,0.17183163667222795,24
momentum_20,0.029492744635991566,0.07997933900533795,24
volatility_20,0.025854727355409467,0.06853795597568542,24
volatility_10,0.01842986481458514,0.052307631351301107,24
price_ma200_ratio,0.06638554714953077,0.17620335469011406,25
return_60d,-0.026301211294390007,-0.06999863677453612,25
beta_60,0.07647277688205384,0.16289012595754787,25
volatility_60,0.06787382694613253,0.16778707515621724,25
momentum_20,-0.0016784488817231072,-0.004433979562403354,25
volatility_20,0.02274587622473024,0.05862364544913765,25
volatility_10,0.021422960849973114,0.058550081203149626,25
price_ma200_ratio,0.07610531544957773,0.2053974155114649,26
return_60d,-0.018016227852293426,-0.0481696840307054,26
beta_60,0.09422089749958602,0.2095117387344628,26
volatility_60,0.11596290776618644,0.30509283854544883,26
momentum_20,-0.0168736545785726,-0.0435181349173673,26
volatility_20,0.06448087431693987,0.17487260871709204,26
volatility_10,0.06822321576419936,0.19419752381849525,26
price_ma200_ratio,0.013874399735055463,0.03456147034658256,27
return_60d,-0.06387439973505549,-0.17012710625281896,27
beta_60,0.07229466799138928,0.1620832519018333,27
volatility_60,0.07972346414969364,0.20289489162585114,27
momentum_20,-0.01814663023679417,-0.04809661883976331,27
volatility_20,0.04967916873654578,0.13793926617678656,27
volatility_10,0.05077206491140916,0.14795750591792864,27
price_ma200_ratio,0.0207996517846039,0.05099490954978464,28
return_60d,-0.048184305434647426,-0.12910002603446782,28
beta_60,0.09115574348132487,0.20762446706786508,28
volatility_60,0.09564316212743024,0.24252574275829258,28
momentum_20,0.0005243958048335607,0.001381066228634461,28
volatility_20,0.0717924802056129,0.20054469420683277,28
volatility_10,0.06864195995522944,0.19734197599514466,28
price_ma200_ratio,-0.011179417122040078,-0.02728817147025882,29
return_60d,-0.04320872661036595,-0.11397277929506511,29
beta_60,0.13773596621957276,0.3369926059411664,29
volatility_60,0.13946845504222552,0.36989429647557,29
momentum_20,-0.003823066732902792,-0.010153416718831795,29
volatility_20,0.10786761053154494,0.3186418655434418,29
volatility_10,0.09137481371087927,0.270609134263942,29
