fold,scheme,train_start,train_end,validation_start,validation_end,test_start,test_end,validation_sharpe,validation_cagr,validation_max_dd,test_sharpe,test_cagr,test_max_dd,test_total_return,test_hit_rate,test_turnover,test_cost
11,equal_weight,2018-04-16,2021-04-16,2021-04-16,2021-10-16,2021-10-16,2022-01-16,6.399368768459985,25.27190011120898,-0.415739577047491,-4.785132153502474,-0.992753120995094,-0.8897565795218995,-0.7082319367329738,0.2698412698412698,1.0,0.063
11,ic_weighted,2018-04-16,2021-04-16,2021-04-16,2021-10-16,2021-10-16,2022-01-16,3.1375502722138666,8.6266138338568,-0.5674386661156265,-3.4443771705741772,-0.9693017805832445,-0.8468241693138622,-0.5814201707642821,0.2857142857142857,1.0,0.063
11,icir_weighted,2018-04-16,2021-04-16,2021-04-16,2021-10-16,2021-10-16,2022-01-16,3.7703261970288056,14.46913812191657,-0.5171431165104272,-3.2595701659701146,-0.9624140354270546,-0.8378054799305426,-0.5596921533466788,0.30158730158730157,1.0,0.063
12,equal_weight,2018-07-16,2021-07-16,2021-07-16,2022-01-16,2022-01-16,2022-04-16,1.664884371574031,1.7425459159359638,-0.8897565795218993,0.45334844853584444,0.005346147420853153,-0.6673562181846326,0.0013126793233209089,0.41935483870967744,1.0,0.062000000000000006
12,ic_weighted,2018-07-16,2021-07-16,2021-07-16,2022-01-16,2022-01-16,2022-04-16,1.7666808655398882,2.685350922633991,-0.8422206099553771,0.6710134448949332,0.2570730672253516,-0.45246715977780494,0.057902985249137284,0.532258064516129,1.0,0.062000000000000006
12,icir_weighted,2018-07-16,2021-07-16,2021-07-16,2022-01-16,2022-01-16,2022-04-16,1.8596402038320492,2.9742973640228514,-0.8536471188583021,0.5333284290965807,0.14183366825908128,-0.5074821410724615,0.033170811875942174,0.5,1.0,0.062000000000000006
13,equal_weight,2018-10-16,2021-10-16,2021-10-16,2022-04-16,2022-04-16,2022-07-16,-2.1747942894316092,-0.9163117173782256,-0.9200846224114461,-6.0762986195737065,-0.9931659434156803,-0.858791353282967,-0.7067336810863634,0.3548387096774194,1.0,0.062000000000000006
13,ic_weighted,2018-10-16,2021-10-16,2021-10-16,2022-04-16,2022-04-16,2022-07-16,-2.9636716572502473,-0.9409664235195117,-0.9042335757672505,-4.584119606325038,-0.9609479326654146,-0.7536176183090271,-0.5497023074389686,0.3548387096774194,1.0,0.062000000000000006
13,icir_weighted,2018-10-16,2021-10-16,2021-10-16,2022-04-16,2022-04-16,2022-07-16,-3.133038024406628,-0.9487805364976112,-0.9097284102833616,-4.55850289086176,-0.9711424819491437,-0.7715496233383775,-0.5820013997804014,0.3548387096774194,1.0,0.062000000000000006
14,equal_weight,2019-01-16,2022-01-16,2022-01-16,2022-07-16,2022-07-16,2022-10-16,-2.45740378189916,-0.9171109629788001,-0.9566346330689373,-3.9858196540789255,-0.9766242728540353,-0.8030071729759733,-0.614771749756035,0.328125,1.0,0.064
14,ic_weighted,2019-01-16,2022-01-16,2022-01-16,2022-07-16,2022-07-16,2022-10-16,-3.444985587649005,-0.9125309770938078,-0.891126344794526,-1.4576645238734005,-0.7675870956809345,-0.6753882551827404,-0.30968037647834645,0.46875,1.0,0.064
14,icir_weighted,2019-01-16,2022-01-16,2022-01-16,2022-07-16,2022-07-16,2022-10-16,-3.083191346058591,-0.8902174575902558,-0.9001093880672325,-2.4897584379993503,-0.8891000667985691,-0.6980732206840474,-0.4279383084924636,0.453125,1.0,0.064
15,equal_weight,2019-04-16,2022-04-16,2022-04-16,2022-10-16,2022-10-16,2023-01-16,-4.967868960477615,-0.9872367689269915,-0.9337346638159674,15.945867252563142,848356.8254611718,-0.18799036519422585,27.74872973666677,0.7741935483870968,1.0,0.062000000000000006
15,ic_weighted,2019-04-16,2022-04-16,2022-04-16,2022-10-16,2022-10-16,2023-01-16,-3.0846073346771163,-0.9184356754096045,-0.8800620793673821,3.4103449252576636,19.633578145985222,-0.6707567106356821,1.1058482448356166,0.6612903225806451,1.0,0.062000000000000006
15,icir_weighted,2019-04-16,2022-04-16,2022-04-16,2022-10-16,2022-10-16,2023-01-16,-2.8477600032937262,-0.9020647885862555,-0.8781110162093265,4.010865008246715,34.005443502694035,-0.6707567106356822,1.398315829538355,0.6612903225806451,1.0,0.062000000000000006
16,equal_weight,2019-07-16,2022-07-16,2022-07-16,2023-01-16,2023-01-16,2023-04-16,5.177831472533346,121.65170122960126,-0.8030071729759733,12.422989129418651,79158.34328319432,-0.3629493744073391,15.039360361076518,0.7096774193548387,1.0,0.062000000000000006
16,ic_weighted,2019-07-16,2022-07-16,2022-07-16,2023-01-16,2023-01-16,2023-04-16,1.5286207192430306,1.675419308755672,-0.7089057515672702,5.2871858875004,27.87845996883525,-0.31177585561979526,1.2874287676516603,0.7419354838709677,1.0,0.062000000000000006
16,icir_weighted,2019-07-16,2022-07-16,2022-07-16,2023-01-16,2023-01-16,2023-04-16,2.464147768500912,5.260970024459198,-0.6707567106356822,5.729017834467574,33.25084837847927,-0.282636083258451,1.3854914686177526,0.7419354838709677,1.0,0.062000000000000006
17,equal_weight,2019-10-16,2022-10-16,2022-10-16,2023-04-16,2023-04-16,2023-07-16,14.129657308425852,259142.68279521156,-0.3629493744073392,11.46737954453189,7731.7546886386,-0.31048714031291036,8.05010588655344,0.7580645161290323,1.0,0.062000000000000006
