Date,Ticker,prediction,position,portfolio_side,actual_return
2025-02-07,MSFT,-0.0433077663183212,0.0,FLAT,0.0060282345
2025-02-07,AMZN,-0.0440221726894378,0.0,FLAT,0.0174122
2025-02-07,JPM,-0.0708826929330825,0.0,FLAT,-0.017258823
2025-02-07,TSLA,-0.0871622413396835,-0.5,SHORT,-0.030114442
2025-02-07,XOM,-0.124320775270462,-0.5,SHORT,0.019101968
2025-02-10,GOOGL,-0.010182112455368,0.5,LONG,-0.006167242
2025-02-10,NVDA,-0.0156491696834564,0.5,LONG,-0.0057648644
2025-02-10,AAPL,-0.0274547934532165,0.0,FLAT,0.021831844
2025-02-10,MSFT,-0.0421390235424041,0.0,FLAT,-0.0018921987
2025-02-10,AMZN,-0.0436138957738876,0.0,FLAT,-0.0016299429
2025-02-10,AVGO,-0.0436515659093856,0.0,FLAT,0.0
2025-02-10,JPM,-0.0695350691676139,0.0,FLAT,0.014573467
2025-02-10,TSLA,-0.0813182070851326,-0.5,SHORT,-0.06338212
2025-02-10,XOM,-0.1214983984827995,-0.5,SHORT,0.006307956
2025-02-11,GOOGL,-0.0053254514932632,0.5,LONG,-0.009227229
2025-02-11,NVDA,-0.016052097082138,0.5,LONG,-0.012499987
2025-02-11,AAPL,-0.0238116383552551,0.0,FLAT,0.01827012
2025-02-11,MSFT,-0.0389003157615661,0.0,FLAT,-0.0058332337
2025-02-11,AMZN,-0.0428149402141571,0.0,FLAT,-0.016454726
2025-02-11,AVGO,-0.0509030520915985,0.0,FLAT,0.0055735824
2025-02-11,JPM,-0.0672529339790344,0.0,FLAT,0.0016728672
2025-02-11,TSLA,-0.0696232914924621,-0.5,SHORT,0.024383591
2025-02-11,XOM,-0.1227784603834152,-0.5,SHORT,-0.030086817
2025-02-12,GOOGL,-0.0016056150197982,0.5,LONG,0.013779156
2025-02-12,NVDA,-0.0169274359941482,0.5,LONG,0.03164542
2025-02-12,AAPL,-0.0257654786109924,0.0,FLAT,0.01967325
2025-02-12,MSFT,-0.0365920662879943,0.0,FLAT,0.0036670868
2025-02-12,AMZN,-0.0436280816793441,0.0,FLAT,0.0062901434
2025-02-12,AVGO,-0.0570973455905914,0.0,FLAT,-0.0023271295
2025-02-12,JPM,-0.0650780200958252,0.0,FLAT,0.0031585277
2025-02-12,TSLA,-0.067073605954647,-0.5,SHORT,0.057739716
2025-02-12,XOM,-0.128967672586441,-0.5,SHORT,0.007266092
2025-02-13,GOOGL,0.0012513399124145,0.5,LONG,-0.004888812
2025-02-13,NVDA,-0.02295783162117,0.5,LONG,0.026313864
2025-02-13,AAPL,-0.029484748840332,0.0,FLAT,0.0127106635
2025-02-13,MSFT,-0.0360240340232849,0.0,FLAT,-0.0051396103
2025-02-13,AMZN,-0.0444389879703521,0.0,FLAT,-0.0073360354
2025-02-13,AVGO,-0.0618000924587249,0.0,FLAT,-0.011704731
2025-02-13,JPM,-0.0633667036890983,0.0,FLAT,0.0009769266
2025-02-13,TSLA,-0.0678438916802406,-0.5,SHORT,-0.00028096337
2025-02-13,XOM,-0.1273076236248016,-0.5,SHORT,0.0010171504
2025-02-14,GOOGL,0.0038864016532897,0.5,LONG,-0.0078821555
2025-02-14,NVDA,-0.0331777334213256,0.5,LONG,0.003961129
2025-02-14,AAPL,-0.0334594696760177,0.0,FLAT,-0.0005315052
2025-02-14,MSFT,-0.0367036014795303,0.0,FLAT,0.0029625783
2025-02-14,AMZN,-0.0427878350019454,0.0,FLAT,-0.008877029
2025-02-14,JPM,-0.0609230101108551,0.0,FLAT,0.012148109
2025-02-14,TSLA,-0.0649237260222435,0.0,FLAT,-0.0048617665
2025-02-14,AVGO,-0.0658608824014663,-0.5,SHORT,-0.019352878
2025-02-14,XOM,-0.1278418004512787,-0.5,SHORT,0.017553687
2025-02-18,GOOGL,0.0075220763683319,0.5,LONG,0.008162345
2025-02-18,AAPL,-0.0360919833183288,0.5,LONG,0.0016361834
2025-02-18,MSFT,-0.0368980914354324,0.0,FLAT,0.012523274
2025-02-18,NVDA,-0.0387721061706543,0.0,FLAT,-0.0012195044
2025-02-18,AMZN,-0.0393998920917511,0.0,FLAT,-8.8193316e-05
2025-02-18,JPM,-0.0585114061832428,0.0,FLAT,-0.0025005597
2025-02-18,AVGO,-0.0649096965789794,0.0,FLAT,0.00087508117
2025-02-18,TSLA,-0.0655543357133865,0.0,FLAT,0.018214714
2025-02-18,XOM,-0.1282974630594253,-0.5,SHORT,0.0014527225
2025-02-18,META,-0.1311450004577636,-0.5,SHORT,-0.017588502
2025-02-19,GOOGL,0.0079386532306671,0.5,LONG,-0.0038321582
2025-02-19,AMZN,-0.0360581278800964,0.5,LONG,-0.016546793
2025-02-19,MSFT,-0.0390601158142089,0.0,FLAT,0.0052905264
2025-02-19,AAPL,-0.0392038077116012,0.0,FLAT,0.003920388
2025-02-19,NVDA,-0.0431821346282959,0.0,FLAT,0.006320443
2025-02-19,JPM,-0.0562014728784561,0.0,FLAT,-0.044583887
2025-02-19,AVGO,-0.065848134458065,0.0,FLAT,-0.008700192
2025-02-19,TSLA,-0.0661457479000091,0.0,FLAT,-0.017084545
2025-02-19,XOM,-0.1263801008462906,-0.5,SHORT,0.01541245
2025-02-19,META,-0.1331080794334411,-0.5,SHORT,-0.012688845
2025-02-20,GOOGL,0.0093843936920166,0.5,LONG,-0.026549581
2025-02-20,AMZN,-0.0324312597513198,0.5,LONG,-0.028266344
2025-02-20,MSFT,-0.0413163304328918,0.0,FLAT,-0.01903249
2025-02-20,AAPL,-0.0419153571128845,0.0,FLAT,-0.0011388798
2025-02-20,NVDA,-0.0426610112190246,0.0,FLAT,-0.04053959
2025-02-20,JPM,-0.0532874464988708,0.0,FLAT,-0.009595053
2025-02-20,AVGO,-0.0614144653081893,0.0,FLAT,-0.035635486
2025-02-20,TSLA,-0.0668078586459159,0.0,FLAT,-0.046839748
2025-02-20,XOM,-0.1227920055389404,-0.5,SHORT,-0.011696302
2025-02-20,META,-0.1321756243705749,-0.5,SHORT,-0.01624847
2025-02-21,GOOGL,0.0138000845909118,0.5,LONG,-0.0022820905
2025-02-21,AMZN,-0.0259998738765716,0.5,LONG,-0.017868664
2025-02-21,NVDA,-0.0316435098648071,0.0,FLAT,-0.030870944
2025-02-21,MSFT,-0.04097780585289,0.0,FLAT,-0.010313348
2025-02-21,AAPL,-0.0427469462156295,0.0,FLAT,0.0063124336
2025-02-21,JPM,-0.0457010567188262,0.0,FLAT,-0.010974902
2025-02-21,AVGO,-0.0517686754465103,0.0,FLAT,-0.049071684
2025-02-21,TSLA,-0.057808294892311,0.0,FLAT,-0.02152158
2025-02-21,XOM,-0.1217422932386398,-0.5,SHORT,0.00523969
2025-02-21,META,-0.1254430264234542,-0.5,SHORT,-0.02255864
2025-02-24,GOOGL,0.0114237964153289,0.5,LONG,-0.021366782
2025-02-24,NVDA,-0.0243310779333114,0.5,LONG,-0.028016672
2025-02-24,AMZN,-0.0248490571975708,0.0,FLAT,0.00042309405
2025-02-24,JPM,-0.0395176708698272,0.0,FLAT,-0.015076122
2025-02-24,MSFT,-0.042295292019844,0.0,FLAT,-0.0150989685
2025-02-24,AAPL,-0.0469768792390823,0.0,FLAT,-0.00024293333
2025-02-24,AVGO,-0.0478497147560119,0.0,FLAT,-0.025922127
2025-02-24,TSLA,-0.0536244660615921,0.0,FLAT,-0.083895594
2025-02-24,META,-0.1100632548332214,-0.5,SHORT,-0.01591014
2025-02-24,XOM,-0.117891177535057,-0.5,SHORT,-0.013840196
2025-02-25,GOOGL,0.0127190053462982,0.5,LONG,-0.0153348725
2025-02-25,AMZN,-0.0214520841836929,0.5,LONG,0.0072838487
2025-02-25,NVDA,-0.0216851532459259,0.0,FLAT,0.036721237
2025-02-25,JPM,-0.0345959663391113,0.0,FLAT,0.0054002837
2025-02-25,AVGO,-0.0412407368421554,0.0,FLAT,0.05134784
2025-02-25,MSFT,-0.041805475950241,0.0,FLAT,0.004599171
2025-02-25,TSLA,-0.0441579520702362,0.0,FLAT,-0.03963012
2025-02-25,AAPL,-0.0504621267318725,0.0,FLAT,-0.027040077
2025-02-25,META,-0.0865490511059761,-0.5,SHORT,0.024638845
2025-02-25,XOM,-0.1194697469472885,-0.5,SHORT,-0.0024605426
2025-02-26,GOOGL,0.0123208165168762,0.5,LONG,-0.024488851
