horizon,feature,mean_ic,median_fold_ic,fold_ic_std,mean_icir,positive_fold_pct,mean_positive_daily_pct,folds,abs_mean_ic
3,volatility_10,0.012829198478667835,0.012217412217412215,0.07238062314777827,0.03509137170739203,55.172413793103445,51.05281708503754,29,0.012829198478667835
3,volatility_20,0.012169016005906719,0.004136604136604138,0.08044542708732978,0.03472821608053159,55.172413793103445,51.887993120988796,29,0.012169016005906719
3,beta_60,0.00860762117787228,0.003822843822843822,0.08806782132009834,0.02929016407685502,51.724137931034484,51.910789949816696,29,0.00860762117787228
3,volume_ratio_20,0.005696901509461912,-0.0001955034213098688,0.06699982939858806,0.01772690766373601,48.275862068965516,52.28675951432567,29,0.005696901509461912
5,volatility_60,0.026113240502406966,0.030498533724340172,0.10490110468550157,0.06498706863723464,58.620689655172406,52.48961933128881,29,0.026113240502406966
5,volatility_20,0.02405834373156899,0.03304007820136851,0.09397817397189705,0.06116011717767343,62.06896551724138,52.63997325971924,29,0.02405834373156899
5,price_ma200_ratio,0.02218350341816306,0.005669599217986326,0.12181209441719908,0.03669135741966013,65.51724137931035,51.9772880196689,29,0.02218350341816306
5,volatility_10,0.02029205574451658,0.03511303511303511,0.09082960826935908,0.045832245428736214,55.172413793103445,52.411900610280185,29,0.02029205574451658
5,volume_ratio_20,0.018197704603364808,0.014271749755620714,0.07932328505005806,0.06097985095991801,55.172413793103445,53.03457666627013,29,0.018197704603364808
5,return_60d,0.016861991212407883,0.018963831867057666,0.10618051147653335,0.03198616338982241,51.724137931034484,51.23841506236448,29,0.016861991212407883
5,beta_60,0.014784259221931313,0.019673659673659652,0.11372714714204242,0.03995586129244633,51.724137931034484,50.49538136566757,29,0.014784259221931313
5,momentum_20,0.004919315586176761,0.0029325513196480986,0.1017063388653624,-0.002009999116108996,55.172413793103445,50.21160564260024,29,0.004919315586176761
5,price_ma50_ratio,0.003482827850613549,-0.01109557109557109,0.11310057944234227,-0.010640790974062302,44.827586206896555,49.23189877907893,29,0.003482827850613549
5,rsi_14,-0.002192273729614849,0.0030769230769230743,0.08282218151929106,-0.012363705150797046,51.724137931034484,49.91549019862583,29,0.002192273729614849
10,volatility_60,0.04008322955035148,0.03742183742183741,0.14392856805722673,0.10020609777668038,55.172413793103445,54.28996974265282,29,0.04008322955035148
10,volatility_20,0.03914939387386003,0.05864801864801865,0.12432801539760927,0.10418837946436381,58.620689655172406,54.58161457829235,29,0.03914939387386003
10,beta_60,0.030237915552882993,0.03684463684463684,0.15823723996255348,0.07318875429952092,51.724137931034484,52.55824373455644,29,0.030237915552882993
10,volatility_10,0.02717566782757614,0.0187683284457478,0.10637545271880652,0.06331417325758026,55.172413793103445,52.685979477587644,29,0.02717566782757614
10,price_ma200_ratio,0.02654109172889147,-0.009139009139009138,0.1762651565309614,0.046890700479833416,48.275862068965516,53.54526665007687,29,0.02654109172889147
10,return_60d,0.024416697261410873,-0.007820136852394924,0.15885301585414313,0.04837042812987291,48.275862068965516,53.35851220442365,29,0.024416697261410873
10,volume_ratio_20,0.010263741827843106,-0.011730205278592363,0.08639869142424193,0.037490631371235886,48.275862068965516,52.82890231947928,29,0.010263741827843106
10,momentum_20,0.008613844672785382,0.013179413179413162,0.13165928268362678,-0.003066259454009759,51.724137931034484,51.325208493823666,29,0.008613844672785382
10,price_ma50_ratio,0.0052729027948534134,0.012960372960372961,0.1585394013290273,-0.043412539062259003,51.724137931034484,50.798556825774,29,0.0052729027948534134
10,rsi_14,-0.0032688106645737203,-0.0035190615835777243,0.11176007620162305,-0.024786115382353202,48.275862068965516,48.95244585821775,29,0.0032688106645737203
20,volatility_60,0.055023249156666974,0.06432062561094819,0.19712716734111924,0.16493046087550164,65.51724137931035,55.2781818632992,29,0.055023249156666974
20,volatility_20,0.05184257672678322,0.08744588744588744,0.17243805294906392,0.1609575952064894,58.620689655172406,56.01034407585744,29,0.05184257672678322
20,beta_60,0.048822983097564124,0.05122189638318671,0.20479440920744202,0.13990567982411103,55.172413793103445,55.107616172124324,29,0.048822983097564124
20,price_ma200_ratio,0.04844658132106388,0.00848484848484848,0.23012560094524812,0.20321769562889075,51.724137931034484,56.75055714762858,29,0.04844658132106388
20,volatility_10,0.03834539004206121,0.07020979020979021,0.15861877420709136,0.11246367160353599,62.06896551724138,54.97961370593074,29,0.03834539004206121
20,return_60d,0.03268593027402906,0.06834498834498832,0.22681343445688004,0.07840017564210322,58.620689655172406,53.793768398429314,29,0.03268593027402906
20,momentum_20,0.019903601226542014,0.022991822991822987,0.1668703988216143,0.03816671344996671,55.172413793103445,52.523016294106434,29,0.019903601226542014
20,rsi_14,0.01661193663112917,0.0015640273704789836,0.13511839979836449,0.037178085221669314,51.724137931034484,52.33551749503558,29,0.01661193663112917
20,price_ma50_ratio,0.01656193075456738,0.03695014662756597,0.2051311151976592,0.01648480234763011,51.724137931034484,51.042807827668966,29,0.01656193075456738
20,volume_ratio_20,-0.015118337712590892,-0.01957277694982612,0.06240025227548019,-0.04080287167295654,41.37931034482759,47.8907673007105,29,0.015118337712590892
