fold,test_start,test_end,horizon,feature,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
25,2025-04-16,2025-07-16,3,volatility_20,61,0.1841033283656234,0.2121212121212121,0.38506899581625154,0.4781047821712305,65.57377049180327
25,2025-04-16,2025-07-16,3,volatility_60,61,0.1942374565325385,0.22424242424242422,0.4304174356799005,0.45127692428564165,72.1311475409836
25,2025-04-16,2025-07-16,3,price_ma50_ratio,61,0.047789369100844505,0.1515151515151515,0.4169974420541607,0.11460350659570112,60.65573770491803
25,2025-04-16,2025-07-16,3,volume_ratio_20,61,-0.009637357178340772,-0.006060606060606061,0.35112722769182203,-0.027446909320285765,49.18032786885246
25,2025-04-16,2025-07-16,3,rsi_14,61,0.0330849478390462,0.04242424242424241,0.35394765067595635,0.09347412753231098,54.09836065573771
25,2025-04-16,2025-07-16,3,momentum_20,61,0.09885742672627916,0.10303030303030303,0.3713715031721715,0.26619551010742976,65.57377049180327
25,2025-04-16,2025-07-16,5,price_ma200_ratio,61,0.040039741679085944,0.10303030303030303,0.37747291543065103,0.10607315132373255,60.65573770491803
25,2025-04-16,2025-07-16,5,return_60d,61,-0.02414307004470938,0.05454545454545454,0.4318885171189394,-0.055901162192882596,54.09836065573771
25,2025-04-16,2025-07-16,5,beta_60,61,0.24192747143566817,0.28484848484848485,0.4141398793989309,0.5841684983025393,68.85245901639344
25,2025-04-16,2025-07-16,5,volatility_10,61,0.2105315449577744,0.19999999999999998,0.39577490277063926,0.5319476891635605,67.21311475409836
25,2025-04-16,2025-07-16,5,volatility_20,61,0.23755588673621456,0.22424242424242422,0.41624028824706694,0.5707181487324191,70.49180327868852
25,2025-04-16,2025-07-16,5,volatility_60,61,0.2544461003477397,0.33333333333333326,0.4341110373858993,0.5861313775386734,67.21311475409836
25,2025-04-16,2025-07-16,5,price_ma50_ratio,61,0.04182811723795331,0.1515151515151515,0.4201384541829464,0.09955793577452338,59.01639344262295
25,2025-04-16,2025-07-16,5,volume_ratio_20,61,0.01043219076005962,-0.006060606060606061,0.3023753146541595,0.03450080166759444,49.18032786885246
25,2025-04-16,2025-07-16,5,rsi_14,61,0.029905613512170897,0.0303030303030303,0.3141005569957836,0.09521031671577819,54.09836065573771
25,2025-04-16,2025-07-16,5,momentum_20,61,0.09587680079483357,0.16363636363636364,0.35334512896214504,0.2713403778239296,63.934426229508205
25,2025-04-16,2025-07-16,10,price_ma200_ratio,61,0.11376055638350718,0.12727272727272726,0.31544740081105227,0.36063241000247725,62.295081967213115
25,2025-04-16,2025-07-16,10,return_60d,61,-0.01877794336810729,-0.04242424242424241,0.34026890268089344,-0.05518559944843792,49.18032786885246
25,2025-04-16,2025-07-16,10,beta_60,61,0.25961251862891205,0.2606060606060606,0.352115788354878,0.7372930360261579,78.68852459016394
25,2025-04-16,2025-07-16,10,volatility_10,61,0.2306010928961748,0.2727272727272727,0.36851678860360737,0.625754646809916,72.1311475409836
25,2025-04-16,2025-07-16,10,volatility_20,61,0.2844510680576254,0.24848484848484845,0.3147858579034928,0.9036335683950343,81.9672131147541
25,2025-04-16,2025-07-16,10,volatility_60,61,0.2699453551912568,0.2727272727272727,0.3569307206697268,0.7562962209718035,80.32786885245902
25,2025-04-16,2025-07-16,10,price_ma50_ratio,61,0.12111276701440635,0.17575757575757575,0.3601354909525337,0.33629778252088227,65.57377049180327
25,2025-04-16,2025-07-16,10,volume_ratio_20,61,-0.03705911574764034,-0.09090909090909088,0.34037034577234015,-0.10887880277451571,42.62295081967213
25,2025-04-16,2025-07-16,10,rsi_14,61,0.044411326378539485,0.006060606060606061,0.3102586799734998,0.14314289734724842,50.81967213114754
25,2025-04-16,2025-07-16,10,momentum_20,61,0.15171385991058117,0.2121212121212121,0.31814038636091413,0.47687708450341004,72.1311475409836
25,2025-04-16,2025-07-16,20,price_ma200_ratio,61,0.19304520615996024,0.23636363636363633,0.2842371175347788,0.6791695885261696,80.32786885245902
25,2025-04-16,2025-07-16,20,return_60d,61,0.0416294088425236,0.13939393939393938,0.37834151544302796,0.1100313001436722,63.934426229508205
25,2025-04-16,2025-07-16,20,beta_60,61,0.27630402384500735,0.19999999999999998,0.301769857494367,0.9156117384923541,83.60655737704919
25,2025-04-16,2025-07-16,20,volatility_10,61,0.17277694982613015,0.09090909090909088,0.40050568425820626,0.43139699788815167,63.934426229508205
25,2025-04-16,2025-07-16,20,volatility_20,61,0.23894684550422254,0.16363636363636364,0.3648875092663523,0.6548507127159608,70.49180327868852
25,2025-04-16,2025-07-16,20,volatility_60,61,0.2888226527570789,0.18787878787878787,0.33290125392968145,0.8675925649054081,83.60655737704919
25,2025-04-16,2025-07-16,20,price_ma50_ratio,61,0.20059612518628914,0.2727272727272727,0.31672819453111045,0.6333383912450702,81.9672131147541
25,2025-04-16,2025-07-16,20,volume_ratio_20,61,-0.03845007451564829,-0.01818181818181818,0.3191258439074623,-0.12048561797708164,45.90163934426229
25,2025-04-16,2025-07-16,20,rsi_14,61,0.14773969200198708,0.16363636363636364,0.2612539841643027,0.565502158654444,73.77049180327869
25,2025-04-16,2025-07-16,20,momentum_20,61,0.21212121212121213,0.22424242424242422,0.275989468486827,0.7685844437623413,80.32786885245902
26,2025-07-16,2025-10-16,1,price_ma200_ratio,65,0.0038228438228438176,-0.01818181818181818,0.4174284623209252,0.009158081367016988,47.69230769230769
26,2025-07-16,2025-10-16,1,return_60d,65,0.01016317016317016,-0.0303030303030303,0.3488158962700973,0.029136201279372175,43.07692307692308
26,2025-07-16,2025-10-16,1,beta_60,65,0.0034498834498834533,-0.006060606060606061,0.42978784945107196,0.008026945048096796,49.23076923076923
26,2025-07-16,2025-10-16,1,volatility_10,65,0.0027039627039626975,0.01818181818181818,0.36877373352710613,0.007332308291322346,52.307692307692314
26,2025-07-16,2025-10-16,1,volatility_20,65,0.0034498834498834607,-0.01818181818181818,0.3708903510051769,0.009301626317680362,46.15384615384615
26,2025-07-16,2025-10-16,1,volatility_60,65,0.02116550116550116,0.0303030303030303,0.41653182815050305,0.050813646725343525,53.84615384615385
26,2025-07-16,2025-10-16,1,price_ma50_ratio,65,0.017062937062937062,0.01818181818181818,0.38251933623513706,0.04460673081490544,50.76923076923077
26,2025-07-16,2025-10-16,1,volume_ratio_20,65,-0.03925407925407926,-0.07878787878787878,0.36806193910134954,-0.10665074294267156,40.0
26,2025-07-16,2025-10-16,1,rsi_14,65,-0.027878787878787878,-0.09090909090909088,0.3550902315519507,-0.07851184122114926,40.0
26,2025-07-16,2025-10-16,1,momentum_20,65,0.0004662004662004641,-0.01818181818181818,0.3743624940688621,0.0012453183040144744,47.69230769230769
26,2025-07-16,2025-10-16,3,price_ma200_ratio,65,-0.05715617715617714,-0.09090909090909088,0.36752649191254283,-0.15551580202762122,38.46153846153847
26,2025-07-16,2025-10-16,3,return_60d,65,-0.0021445221445221397,-0.006060606060606061,0.35094067275783153,-0.006110782565239962,49.23076923076923
26,2025-07-16,2025-10-16,3,beta_60,65,0.007179487179487178,0.01818181818181818,0.41618828227569715,0.017250575004731258,50.76923076923077
26,2025-07-16,2025-10-16,3,volatility_10,65,0.05864801864801865,0.11515151515151514,0.3657217785391975,0.16036239045505146,63.07692307692307
26,2025-07-16,2025-10-16,3,volatility_20,65,0.03142191142191142,0.06666666666666665,0.378076441448233,0.08310994279767567,53.84615384615385
26,2025-07-16,2025-10-16,3,volatility_60,65,0.039999999999999994,0.06666666666666665,0.4095182952686969,0.09767573381246576,56.92307692307692
26,2025-07-16,2025-10-16,3,price_ma50_ratio,65,0.011282051282051283,0.0303030303030303,0.31703957476731104,0.035585624571732616,60.0
26,2025-07-16,2025-10-16,3,volume_ratio_20,65,-0.010536130536130537,-0.0303030303030303,0.31129317370342235,-0.033846326955336965,46.15384615384615
26,2025-07-16,2025-10-16,3,rsi_14,65,-0.06368298368298367,-0.07878787878787878,0.2988117788802344,-0.2131207274412974,35.38461538461539
26,2025-07-16,2025-10-16,3,momentum_20,65,-0.05025641025641024,-0.09090909090909088,0.3201915660619193,-0.15695732050197586,38.46153846153847
26,2025-07-16,2025-10-16,5,price_ma200_ratio,65,-0.06368298368298367,-0.10303030303030303,0.3856174063296682,-0.16514551116642398,43.07692307692308
26,2025-07-16,2025-10-16,5,return_60d,65,-0.007552447552447557,-0.04242424242424241,0.3646230785407512,-0.020713026675856658,46.15384615384615
26,2025-07-16,2025-10-16,5,beta_60,65,0.019673659673659652,-0.006060606060606061,0.39005961078363616,0.05043757192428856,49.23076923076923
26,2025-07-16,2025-10-16,5,volatility_10,65,0.06573426573426573,0.06666666666666665,0.3408000343564987,0.19288221569104502,61.53846153846154
26,2025-07-16,2025-10-16,5,volatility_20,65,0.026386946386946386,0.04242424242424241,0.3268734074264655,0.08072527708722368,63.07692307692307
26,2025-07-16,2025-10-16,5,volatility_60,65,0.05827505827505827,0.06666666666666665,0.35320858469431177,0.16498766111671112,58.46153846153847
26,2025-07-16,2025-10-16,5,price_ma50_ratio,65,-0.01109557109557109,0.0303030303030303,0.3322150132115926,-0.03339876481892815,53.84615384615385
26,2025-07-16,2025-10-16,5,volume_ratio_20,65,-0.04503496503496501,0.006060606060606061,0.3431909645425918,-0.1312242153431634,52.307692307692314
26,2025-07-16,2025-10-16,5,rsi_14,65,-0.09836829836829836,-0.07878787878787878,0.3316118931729084,-0.29663682272398884,46.15384615384615
26,2025-07-16,2025-10-16,5,momentum_20,65,-0.059580419580419576,-0.09090909090909088,0.30006803871623794,-0.1985563668670569,36.92307692307693
26,2025-07-16,2025-10-16,10,price_ma200_ratio,65,-0.07841491841491839,-0.05454545454545454,0.42767533809571684,-0.1833515085627139,46.15384615384615
26,2025-07-16,2025-10-16,10,return_60d,65,0.008857808857808859,0.06666666666666665,0.38647811275421395,0.02291930271208425,56.92307692307692
26,2025-07-16,2025-10-16,10,beta_60,65,0.08717948717948716,0.07878787878787878,0.38046249872166255,0.22914081538234765,53.84615384615385
26,2025-07-16,2025-10-16,10,volatility_10,65,0.05006993006993006,0.06666666666666665,0.33189475545658026,0.15086086552060748,58.46153846153847
26,2025-07-16,2025-10-16,10,volatility_20,65,0.0454079254079254,0.0303030303030303,0.3210050130572025,0.1414555024404986,53.84615384615385
26,2025-07-16,2025-10-16,10,volatility_60,65,0.12764568764568762,0.10303030303030303,0.34556065110770606,0.369387218239447,56.92307692307692
26,2025-07-16,2025-10-16,10,price_ma50_ratio,65,0.01613053613053613,0.0303030303030303,0.36236880866455884,0.04451414068992899,53.84615384615385
26,2025-07-16,2025-10-16,10,volume_ratio_20,65,-0.0677855477855478,-0.07878787878787878,0.3023532062448689,-0.2241932494363888,43.07692307692308
26,2025-07-16,2025-10-16,10,rsi_14,65,-0.14386946386946387,-0.18787878787878787,0.3236157157098588,-0.44456884163948207,27.692307692307693
26,2025-07-16,2025-10-16,10,momentum_20,65,-0.05939393939393938,-0.09090909090909088,0.3130231158786522,-0.1897429818472712,36.92307692307693
26,2025-07-16,2025-10-16,20,price_ma200_ratio,65,-0.08717948717948718,-0.07878787878787878,0.36253572748748636,-0.24047143652206346,40.0
26,2025-07-16,2025-10-16,20,return_60d,65,0.06834498834498832,0.17575757575757575,0.3708246395927529,0.18430541298454753,56.92307692307692
26,2025-07-16,2025-10-16,20,beta_60,65,0.15878787878787878,0.1515151515151515,0.2564216568773053,0.6192451945034303,72.3076923076923
26,2025-07-16,2025-10-16,20,volatility_10,65,0.07020979020979021,0.07878787878787878,0.3284611075293792,0.21375374009390227,55.38461538461539
26,2025-07-16,2025-10-16,20,volatility_20,65,0.13491841491841491,0.07878787878787878,0.28937068945768174,0.46624768794403315,58.46153846153847
26,2025-07-16,2025-10-16,20,volatility_60,65,0.1461072261072261,0.17575757575757575,0.22955451296488846,0.636481610490376,75.38461538461539
26,2025-07-16,2025-10-16,20,price_ma50_ratio,65,0.11869463869463868,0.1515151515151515,0.34276413190941335,0.34628663750035443,67.6923076923077
26,2025-07-16,2025-10-16,20,volume_ratio_20,65,-0.09128205128205129,-0.07878787878787878,0.3670419393819183,-0.2486965152695249,41.53846153846154
26,2025-07-16,2025-10-16,20,rsi_14,65,-0.02228438228438228,-0.01818181818181818,0.27957954890285547,-0.07970676815179123,46.15384615384615
26,2025-07-16,2025-10-16,20,momentum_20,65,0.08736596736596736,0.09090909090909088,0.3237373797982221,0.26986678961947647,56.92307692307692
27,2025-10-16,2026-01-16,1,price_ma200_ratio,63,-0.0012506012506012473,0.04242424242424241,0.3837360616427334,-0.0032590141391652273,52.38095238095239
27,2025-10-16,2026-01-16,1,return_60d,63,0.03203463203463204,-0.0303030303030303,0.37648752700347493,0.08508816291897066,47.61904761904761
27,2025-10-16,2026-01-16,1,beta_60,63,-0.006445406445406441,0.0303030303030303,0.44381051047297576,-0.014522879231808799,50.79365079365079
27,2025-10-16,2026-01-16,1,volatility_10,63,0.0458874458874459,0.07878787878787878,0.4099675113120853,0.11192946909520925,53.96825396825397
27,2025-10-16,2026-01-16,1,volatility_20,63,0.02837902837902838,0.1515151515151515,0.4136089892392715,0.06861318084798974,55.55555555555556
27,2025-10-16,2026-01-16,1,volatility_60,63,0.016835016835016835,0.06666666666666665,0.4221038746178242,0.03988358754171441,58.730158730158735
27,2025-10-16,2026-01-16,1,price_ma50_ratio,63,-0.032227032227032236,-0.10303030303030303,0.3403157872224286,-0.09469743525582848,44.44444444444444
27,2025-10-16,2026-01-16,1,volume_ratio_20,63,-0.00971620971620971,0.006060606060606061,0.34979614682258703,-0.027776777430134673,50.79365079365079
27,2025-10-16,2026-01-16,1,rsi_14,63,-0.03184223184223184,-0.01818181818181818,0.2970234919536153,-0.10720442222531167,47.61904761904761
27,2025-10-16,2026-01-16,1,momentum_20,63,-0.03973063973063973,-0.05454545454545454,0.3133904056388591,-0.12677682218652228,44.44444444444444
27,2025-10-16,2026-01-16,3,price_ma200_ratio,63,0.009908609908609908,0.006060606060606061,0.3661161804662829,0.027064113626418737,53.96825396825397
27,2025-10-16,2026-01-16,3,return_60d,63,0.07686387686387684,0.11515151515151514,0.3445372489728321,0.22309308236781622,58.730158730158735
27,2025-10-16,2026-01-16,3,beta_60,63,-0.05858585858585858,-0.09090909090909088,0.34998825690269353,-0.16739378373528424,38.095238095238095
27,2025-10-16,2026-01-16,3,volatility_10,63,0.014911014911014913,0.04242424242424241,0.3615791030033331,0.04123859699623587,52.38095238095239
27,2025-10-16,2026-01-16,3,volatility_20,63,-0.02145262145262146,-0.04242424242424241,0.3690776110823463,-0.05812496019390101,49.2063492063492
27,2025-10-16,2026-01-16,3,volatility_60,63,-0.02126022126022125,-0.04242424242424241,0.3388066994317163,-0.06275029772398603,47.61904761904761
27,2025-10-16,2026-01-16,3,price_ma50_ratio,63,-0.04357864357864358,-0.06666666666666665,0.30756115638429626,-0.14169098624467474,36.507936507936506
27,2025-10-16,2026-01-16,3,volume_ratio_20,63,-0.016642616642616632,0.0303030303030303,0.3819158717740204,-0.043576656202610156,57.14285714285714
27,2025-10-16,2026-01-16,3,rsi_14,63,-0.031457431457431476,-0.0303030303030303,0.30974162837828806,-0.10156023141652905,49.2063492063492
27,2025-10-16,2026-01-16,3,momentum_20,63,-0.05185185185185186,-0.05454545454545454,0.30685712247540226,-0.16897718206299192,38.095238095238095
27,2025-10-16,2026-01-16,5,price_ma200_ratio,63,0.00048100048100048807,-0.0303030303030303,0.33069300265795365,0.0014545227057555924,46.03174603174603
27,2025-10-16,2026-01-16,5,return_60d,63,0.06743626743626745,0.13939393939393938,0.3418905036104526,0.1972452195194746,57.14285714285714
27,2025-10-16,2026-01-16,5,beta_60,63,-0.038191438191438186,-0.0303030303030303,0.41472444861836055,-0.09208870689604043,47.61904761904761
27,2025-10-16,2026-01-16,5,volatility_10,63,-0.0060606060606060545,0.07878787878787878,0.39442784966816996,-0.015365563222031127,53.96825396825397
27,2025-10-16,2026-01-16,5,volatility_20,63,-0.010870610870610885,-0.01818181818181818,0.42344032362217704,-0.02567212016470685,47.61904761904761
27,2025-10-16,2026-01-16,5,volatility_60,63,-0.003174603174603173,-0.0303030303030303,0.4014471543047816,-0.007907898064692697,44.44444444444444
27,2025-10-16,2026-01-16,5,price_ma50_ratio,63,-0.06897546897546898,-0.07878787878787878,0.3054903634824954,-0.2257860712500716,41.269841269841265
27,2025-10-16,2026-01-16,5,volume_ratio_20,63,-0.02991822991822991,-0.0303030303030303,0.2980944507501338,-0.10036493414400295,49.2063492063492
27,2025-10-16,2026-01-16,5,rsi_14,63,-0.059547859547859565,-0.05454545454545454,0.302573535872477,-0.19680458628396597,42.857142857142854
27,2025-10-16,2026-01-16,5,momentum_20,63,-0.11784511784511785,-0.10303030303030303,0.2674160309390972,-0.4406808276649523,31.746031746031743
27,2025-10-16,2026-01-16,10,price_ma200_ratio,63,-0.033766233766233764,-0.006060606060606061,0.2889017463868851,-0.11687791503003045,47.61904761904761
27,2025-10-16,2026-01-16,10,return_60d,63,0.08244348244348244,0.05454545454545454,0.3192576694477629,0.2582349316340289,55.55555555555556
27,2025-10-16,2026-01-16,10,beta_60,63,-0.017989417989417996,-0.01818181818181818,0.3459805777942876,-0.051995456230823765,49.2063492063492
27,2025-10-16,2026-01-16,10,volatility_10,63,0.003367003367003371,0.10303030303030303,0.3549796870936313,0.009485059256687193,55.55555555555556
27,2025-10-16,2026-01-16,10,volatility_20,63,-0.01991341991341991,0.06666666666666665,0.32717030469173053,-0.06086560921897517,53.96825396825397
27,2025-10-16,2026-01-16,10,volatility_60,63,-0.0027898027898027936,-0.01818181818181818,0.3246570564872039,-0.008593076090778737,47.61904761904761
27,2025-10-16,2026-01-16,10,price_ma50_ratio,63,-0.10803270803270798,-0.11515151515151514,0.30784549600742195,-0.3509315855967676,41.269841269841265
27,2025-10-16,2026-01-16,10,volume_ratio_20,63,-0.0226070226070226,-0.01818181818181818,0.3190101517797551,-0.07086615419884978,47.61904761904761
27,2025-10-16,2026-01-16,10,rsi_14,63,-0.05473785473785473,-0.06666666666666665,0.24017028491480175,-0.22791268602305442,34.92063492063492
27,2025-10-16,2026-01-16,10,momentum_20,63,-0.15132275132275133,-0.12727272727272726,0.277718993581064,-0.5448772133713692,26.984126984126984
27,2025-10-16,2026-01-16,20,price_ma200_ratio,63,-0.053391053391053385,-0.09090909090909088,0.2592381685353112,-0.20595367454071842,34.92063492063492
27,2025-10-16,2026-01-16,20,return_60d,63,0.11034151034151034,0.07878787878787878,0.30266675891842754,0.36456435036279866,58.730158730158735
27,2025-10-16,2026-01-16,20,beta_60,63,-0.1368927368927369,-0.11515151515151514,0.21322887705480587,-0.6419990518336388,30.158730158730158
27,2025-10-16,2026-01-16,20,volatility_10,63,-0.0685906685906686,-0.07878787878787878,0.20804297839061628,-0.3296947059750533,34.92063492063492
27,2025-10-16,2026-01-16,20,volatility_20,63,-0.03511303511303511,-0.01818181818181818,0.22633343529966204,-0.1551385241272284,46.03174603174603
27,2025-10-16,2026-01-16,20,volatility_60,63,-0.10226070226070225,-0.09090909090909088,0.24234478674316873,-0.42196369740387984,33.33333333333333
27,2025-10-16,2026-01-16,20,price_ma50_ratio,63,-0.0703222703222703,-0.10303030303030303,0.3401934091856488,-0.20671261824444798,36.507936507936506
27,2025-10-16,2026-01-16,20,volume_ratio_20,63,-0.043578643578643564,-0.0303030303030303,0.30075166187922614,-0.14489909484238722,42.857142857142854
27,2025-10-16,2026-01-16,20,rsi_14,63,-0.13208273208273208,-0.16363636363636364,0.29342783579501686,-0.450137021679847,33.33333333333333
27,2025-10-16,2026-01-16,20,momentum_20,63,-0.17133237133237136,-0.22424242424242422,0.3305530658806254,-0.5183203213557416,31.746031746031743
28,2026-01-16,2026-04-16,1,price_ma200_ratio,61,-0.03427719821162444,-0.10303030303030303,0.38066345389489736,-0.09004593916464727,37.704918032786885
28,2026-01-16,2026-04-16,1,return_60d,61,-0.00029806259314455954,0.04242424242424241,0.31116048321906253,-0.0009579063191475962,54.09836065573771
28,2026-01-16,2026-04-16,1,beta_60,61,-0.01381023348236463,-0.01818181818181818,0.42766889169953254,-0.03229188222571795,47.540983606557376
28,2026-01-16,2026-04-16,1,volatility_10,61,-0.01698956780923994,-0.06666666666666665,0.38793373927687336,-0.04379502499810738,45.90163934426229
28,2026-01-16,2026-04-16,1,volatility_20,61,0.020168902136115243,0.0303030303030303,0.39044718040658294,0.051655904174062246,50.81967213114754
28,2026-01-16,2026-04-16,1,volatility_60,61,-0.011028315946348734,-0.0303030303030303,0.40719802735568916,-0.027083421837688457,45.90163934426229
28,2026-01-16,2026-04-16,1,price_ma50_ratio,61,0.008246398410332836,0.01818181818181818,0.34280756731080597,0.02405547367294915,52.459016393442624
28,2026-01-16,2026-04-16,1,volume_ratio_20,61,-0.008246398410332822,-0.04242424242424241,0.33821228780387436,-0.0243823146222139,47.540983606557376
28,2026-01-16,2026-04-16,1,rsi_14,61,-0.015598609041231991,0.006060606060606061,0.3293247657964291,-0.04736542969523954,50.81967213114754
28,2026-01-16,2026-04-16,1,momentum_20,61,-0.0018877297565822136,-0.01818181818181818,0.35241184998423813,-0.005356601251253736,47.540983606557376
28,2026-01-16,2026-04-16,3,price_ma200_ratio,61,-0.04302036761053154,-0.04242424242424241,0.3592491317754285,-0.11975079076161596,49.18032786885246
28,2026-01-16,2026-04-16,3,return_60d,61,-0.04639841033283656,-0.006060606060606061,0.3529175876694758,-0.13147094946226054,47.540983606557376
28,2026-01-16,2026-04-16,3,beta_60,61,-0.03268753104818679,-0.11515151515151514,0.4163586059545332,-0.07850811915667788,42.62295081967213
28,2026-01-16,2026-04-16,3,volatility_10,61,-0.06726279185295576,-0.04242424242424241,0.3790886965805692,-0.17743286059351057,47.540983606557376
28,2026-01-16,2026-04-16,3,volatility_20,61,0.005067064083457526,0.04242424242424241,0.37888755105263305,0.013373530139430831,57.377049180327866
